Thread ID,Comment Link,Floor Number,Username,Trade,Review,Q&A,Self-Promotion,Content,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,11,Incaa,0,0,0,1,TAKING ORDERS Join Now!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,12,Incaa,0,0,0,1,JOIN OUR DISCORD SERVER NOW!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,13,Incaa,0,0,0,1,JOIN OUR DISCORD SERVER TAKING ORDERS,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,14,Incaa,0,0,0,1,TAKING ORDERS! CLICK HERE TO JOIN!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,15,Incaa,0,0,0,1,TAKING ORDERS,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,16,Incaa,0,0,0,1,JOIN US NOW!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,17,Incaa,0,0,0,1,TAKING ORDERS! ONLY 16% FOR BOTH FAILED AND NORMAL REFUNDS,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,18,Incaa,0,0,0,1,JOIN NOW!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,19,Incaa,0,0,0,1,JOIN NOW!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-2,20,blackpoison1208,0,+,0,0,"BIG VOUCH FOR INCA My first refund with him & all went smoothly no issues Very friendly guy and usually responds instantly Completed a 'DRONE on amazon.de in less than 7 minutes. Nevertheless, when i ask him to pay he told me to pay next time with future order 100% recommend his professional refunding service. https://imgur.com/a/ThYYafR",
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-3,21,Incaa,0,0,0,1,JOIN OUR SERVER NOW !,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-3,22,Incaa,0,0,0,1,TAKING ORDERS!,
0,https://www.nulled.to/topic/820108-10-15-inca-refunding-service-amzites-high-limits-fast-response-digital-orders-amazonfrdeaucom-bestbuy-nike-adidas-zalando/page-3,23,Hellput,0,+,0,0,"+1 Amazing service from @ Incaa . I had another refunder fail an amazon.ca order, of 3 items totaling to about $420CAD after having attempted multiple times. When all seemed fucked, I contacted Incaa. He gives customers very friendly service. He is very well informed, and was able to swiftly answer all my questions politely and professionally. For a first timer, he handled the order smoothly and guided me through all aspects of the order. He was able to get replacements for each of the original items in merely ~24 hours after contacting him, and insisted on charging me 50% of his original fee. This is how customer service should be, and I'll certainly be a returning customer in the future! As he also boasts low rates, there's no reason why anybody should go with anyone other than @ Incaa . I'll add a picture of the replacement items once they arrive in a few days. THANKS!",
